관측소명:영종대교
위도:37.545556
경도:126.584444
관측시간	조위(cm)	수온(℃)	염분(PSU)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)		풍향(deg)	기온(℃)	기압(hPa)	시정(m)	
2023/04/01 00:00:00	502	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:01:00	502	-	-	-	-	-	-	-	-	-	-	1016.9	-	
2023/04/01 00:02:00	502	-	-	-	-	-	-	-	-	-	-	1016.9	-	
2023/04/01 00:03:00	503	-	-	-	-	-	-	-	-	-	-	1016.9	-	
2023/04/01 00:04:00	504	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:05:00	505	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:06:00	505	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:07:00	506	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:08:00	507	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:09:00	507	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:10:00	507	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:11:00	509	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:12:00	510	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:13:00	510	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:14:00	511	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:15:00	512	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:16:00	512	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:17:00	513	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:18:00	514	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:19:00	515	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:20:00	515	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:21:00	516	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:22:00	517	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:23:00	517	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:24:00	518	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:25:00	518	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:26:00	520	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:27:00	520	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:28:00	521	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:29:00	522	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:30:00	522	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:31:00	523	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:32:00	524	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:33:00	524	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:34:00	525	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:35:00	526	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:36:00	526	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:37:00	527	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:38:00	528	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:39:00	528	-	-	-	-	-	-	-	-	-	-	1017.1	-	
2023/04/01 00:40:00	529	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:41:00	529	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:42:00	530	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:43:00	530	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:44:00	531	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:45:00	532	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:46:00	532	-	-	-	-	-	-	-	-	-	-	1017.0	-	
2023/04/01 00:47:00	533	-	-	-	-	-	-	-	-	-	-	1017.0	-	
